freq,unit,s_adj,na_item,geo,time,values
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1985-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1985-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1985-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1985-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1986-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1986-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1986-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1986-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1987-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1987-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1987-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1987-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1988-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1988-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1988-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1988-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1989-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1989-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1989-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1989-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1990-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1990-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1990-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1990-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1991-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1991-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1991-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1991-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1992-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1992-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1992-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1992-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1993-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1993-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1993-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1993-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1994-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1994-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1994-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1994-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1995-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1995-04-01,-2.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1995-07-01,-1.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1995-10-01,-5.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1996-01-01,12.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1996-04-01,-0.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1996-07-01,-3.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1996-10-01,-1.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1997-01-01,1.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1997-04-01,-4.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1997-07-01,0.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1997-10-01,-2.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1998-01-01,-3.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1998-04-01,1.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1998-07-01,5.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1998-10-01,2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1999-01-01,-2.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1999-04-01,-1.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1999-07-01,-1.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1999-10-01,-1.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2000-01-01,3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2000-04-01,5.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2000-07-01,-5.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2000-10-01,1.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2001-01-01,4.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2001-04-01,-1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2001-07-01,2.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2001-10-01,2.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2002-01-01,1.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2002-04-01,2.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2002-07-01,-1.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2002-10-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2003-01-01,0
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2003-04-01,2.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2003-07-01,0.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2003-10-01,-1.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2004-01-01,5.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2004-04-01,2.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2004-07-01,4.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2004-10-01,1.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2005-01-01,-1.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2005-04-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2005-07-01,0.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2005-10-01,3.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2006-01-01,2.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2006-04-01,1.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2006-07-01,2.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2006-10-01,0
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2007-01-01,3.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2007-04-01,1.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2007-07-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2007-10-01,3.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2008-01-01,1.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2008-04-01,4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2008-07-01,2.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2008-10-01,0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2009-01-01,-9.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2009-04-01,0.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2009-07-01,3.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2009-10-01,0.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2010-01-01,-5.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2010-04-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2010-07-01,-4.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2010-10-01,2.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2011-01-01,3.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2011-04-01,1.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2011-07-01,2.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2011-10-01,-4.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2012-01-01,5.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2012-04-01,0
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2012-07-01,-2.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2012-10-01,-1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2013-01-01,0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2013-04-01,1.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2013-07-01,1.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2013-10-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2014-01-01,1.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2014-04-01,0.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2014-07-01,2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2014-10-01,0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2015-01-01,1.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2015-04-01,1.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2015-07-01,-0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2015-10-01,-0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2016-01-01,2.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2016-04-01,-0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2016-07-01,0.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2016-10-01,0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2017-01-01,4.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2017-04-01,3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2017-07-01,1.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2017-10-01,-0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2018-01-01,1.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2018-04-01,2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2018-07-01,2.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2018-10-01,-0.7
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2019-01-01,0.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2019-04-01,2.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2019-07-01,0.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2019-10-01,1.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2020-01-01,-2.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2020-04-01,-8.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2020-07-01,3.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2020-10-01,4.9
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2021-01-01,1.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2021-04-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2021-07-01,0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2021-10-01,-0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2022-01-01,3.3
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2022-04-01,0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2022-07-01,0.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2022-10-01,1.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2023-01-01,-0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2023-04-01,1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2023-07-01,0.8
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2023-10-01,0.2
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2024-01-01,0
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2024-04-01,-0.4
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2024-07-01,0.6
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2024-10-01,0.5
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2025-01-01,0.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2025-04-01,1.1
Q,CLV_PCH_PRE,SCA,B1GQ,RO,2025-07-01,-0.2
